Date d'opération;Date de valeur;Débit;Crédit;Libellé;Solde
01/01/2017;01/01/2017;;-200;PAIEMENT CB 3101 LA CHAPELLE D NJH DISTRI CARTE 77207203;251,27
02/01/2017;02/01/2017;-1,5;;ABONNEMENT OPTION BOURSE + FEVRIER 2017;249,77
03/01/2017;03/01/2017;;24;VIR VERHELLE MARYNE 30027-12-17033365022652 LOYER;273,77
04/01/2017;04/01/2017;-1236,11;;ECH PRET CAP+IN 17109 200318 03;-962,34
05/01/2017;05/01/2017;-1500;;GERANCE;537,66
06/01/2017;06/01/2017;-270;;REM CHQ REF17109R24;807,66
07/01/2017;07/01/2017;-890,26;;VIR CAF DU PAS DE CALAIS 015420106V16 XXXREFERENCE 015420106 ME00928910001 DIVALLOC012017ME;1697,92
08/01/2017;08/01/2017;-11;;PAIEMENT PSC 0402 LA CHAPELLE VILLAGE CARTE 77207203;1686,92
09/01/2017;09/01/2017;-14;;PAIEMENT PSC 0302 LA CHAPELLE VILLAGE CARTE 77207203;11672,92
10/01/2017;10/01/2017;-5,55;;PAIEMENT PSC 0402 LA CHAPELLE D LETINTURIER CARTE 77207203;0
